Giá,Khoảng giá min,Khoảng giá max,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Loại xe,Dung tích xe,Xuất xứ,Chênh lệch giá
29.0,8.99,10.55,Hãng khác,Dòng khác,2019,2216,Tay côn/Moto,100 - 175 cc,Việt Nam,1.5600000000000005
23.5,23.44,27.51,Honda,Winner X,2022,45000,Tay côn/Moto,100 - 175 cc,Việt Nam,4.07
52.0,60.06,70.5,Piaggio,Sprint,2022,27000,Tay ga,100 - 175 cc,Việt Nam,10.439999999999998
40.8,40.61,47.67,Honda,SH,2008,70000,Tay ga,100 - 175 cc,Nước khác,7.060000000000002
7.0,3.55,4.17,Hãng khác,Dòng khác,2010,3000,Tay côn/Moto,100 - 175 cc,Hàn Quốc,0.6200000000000001
19.0,13.94,16.37,Honda,Future,2001,59559,Xe số,100 - 175 cc,Nhật Bản,2.4300000000000015
90.0,111.87,131.33,Honda,SH,2011,20000,Tay ga,100 - 175 cc,Việt Nam,19.460000000000008
30.0,27.41,32.18,Honda,SH Mode,2015,28000,Tay ga,100 - 175 cc,Việt Nam,4.77
85.0,23.12,27.14,Honda,Spacy,2001,85000,Tay ga,100 - 175 cc,Nhật Bản,4.02
43.0,36.78,43.18,Yamaha,Nvx,2022,22000,Tay ga,100 - 175 cc,Đang cập nhật,6.399999999999999
26.0,24.45,28.7,Honda,Vision,2021,39000,Tay ga,100 - 175 cc,Việt Nam,4.25
74.0,43.05,50.54,Piaggio,Vespa,2022,15000,Tay ga,100 - 175 cc,Đang cập nhật,7.490000000000002
46.0,41.9,49.18,Yamaha,Exciter,2010,54000,Tay côn/Moto,100 - 175 cc,Đang cập nhật,7.280000000000001
12.5,8.9,10.45,Honda,Blade,2017,23000,Xe số,100 - 175 cc,Việt Nam,1.549999999999999
80.0,62.76,73.68,Honda,SH,2019,50000,Tay ga,100 - 175 cc,Việt Nam,10.920000000000009
35.0,14.16,16.63,Honda,Future,2000,12000,Xe số,100 - 175 cc,Thái Lan,2.469999999999999
80.0,35.74,41.95,Honda,Dòng khác,1998,70000,Xe số,50 - 100 cc,Nhật Bản,6.210000000000001
25.0,23.0,27.0,Honda,Win,2022,10000,Tay côn/Moto,100 - 175 cc,Việt Nam,4.0
6.0,16.53,19.41,Honda,Lead,2016,100,Tay ga,100 - 175 cc,Nhật Bản,2.879999999999999
20.0,19.01,22.32,Piaggio,Vespa,2014,36000,Tay ga,100 - 175 cc,Việt Nam,3.3099999999999987
43.0,31.1,36.51,Yamaha,R,2020,30000,Tay côn/Moto,100 - 175 cc,Việt Nam,5.409999999999997
10.0,8.24,9.67,Honda,Blade,2012,55431,Tay ga,100 - 175 cc,Việt Nam,1.4299999999999997
7.0,6.08,7.14,Yamaha,Mio,2016,1,Tay ga,100 - 175 cc,Việt Nam,1.0599999999999996
95.0,65.28,76.63,Honda,SH,2009,50000,Tay ga,100 - 175 cc,Nước khác,11.349999999999994
12.345678,98.4,115.51,Honda,SH,2010,50000,Tay ga,100 - 175 cc,Nước khác,17.11
47.0,38.21,44.86,Piaggio,Vespa,2018,7523,Tay ga,100 - 175 cc,Việt Nam,6.649999999999999
25.0,19.98,23.46,Honda,Air Blade,2016,53983,Tay ga,100 - 175 cc,Đang cập nhật,3.4800000000000004
3.9,5.95,6.98,Hãng khác,Dòng khác,2018,30000,Tay ga,Dưới 50 cc,Việt Nam,1.0300000000000002
49.0,14.53,17.05,Piaggio,Vespa S125,2019,7283,Tay ga,100 - 175 cc,Việt Nam,2.5200000000000014
11.8,8.59,10.08,Piaggio,Vespa,2012,36000,Tay ga,100 - 175 cc,Đang cập nhật,1.4900000000000002
13.0,18.22,21.39,Suzuki,GD,2022,20000,Tay côn/Moto,100 - 175 cc,Nhật Bản,3.1700000000000017
7.5,3.4,4.0,Honda,Win,2000,1000,Tay côn/Moto,50 - 100 cc,Đang cập nhật,0.6000000000000001
21.0,14.51,17.04,Yamaha,Exciter,2013,40000,Xe số,100 - 175 cc,Đang cập nhật,2.5299999999999994
11.6,7.98,9.37,Honda,Lead,2012,39,Tay ga,100 - 175 cc,Đang cập nhật,1.3899999999999988
25.0,14.53,17.05,Suzuki,Viva,2022,480000,Xe số,100 - 175 cc,Việt Nam,2.5200000000000014
48.0,35.34,41.48,Honda,Vario,2023,22000,Tay ga,100 - 175 cc,Nước khác,6.1399999999999935
16.6,13.85,16.26,Yamaha,Janus,2018,35000,Tay ga,100 - 175 cc,Đang cập nhật,2.410000000000002
12.5,8.92,10.47,Yamaha,Nozza,2013,37000,Tay ga,100 - 175 cc,Việt Nam,1.5500000000000007
15.6,12.59,14.78,Honda,Air Blade,2010,31000,Tay ga,100 - 175 cc,Đang cập nhật,2.1899999999999995
9.5,6.83,8.02,Yamaha,Luvias,2013,33333,Tay ga,100 - 175 cc,Việt Nam,1.1899999999999995
20.0,17.08,20.05,Honda,Winner X,2020,17000,Tay côn/Moto,100 - 175 cc,Việt Nam,2.9700000000000024
10.5,10.8,12.68,SYM,Dòng khác,2019,7500,Tay ga,100 - 175 cc,Đang cập nhật,1.879999999999999
25.555555,22.36,26.25,Yamaha,Exciter,2020,36000,Tay côn/Moto,100 - 175 cc,Việt Nam,3.8900000000000006
20.6,16.92,19.86,Honda,Vision,2017,29,Tay ga,100 - 175 cc,Đang cập nhật,2.9399999999999977
12.0,8.67,10.17,Honda,Dòng khác,2007,10000,Tay ga,Dưới 50 cc,Nhật Bản,1.5
24.0,14.53,17.05,Honda,Chaly,2010,50000,Tay ga,50 - 100 cc,Nhật Bản,2.5200000000000014
11.9,7.98,9.37,Honda,Lead,2012,31000,Tay ga,100 - 175 cc,Đang cập nhật,1.3899999999999988
11.0,9.73,11.42,Honda,Wave,2016,80000,Xe số,100 - 175 cc,Việt Nam,1.6899999999999995
86.0,69.27,81.32,Honda,SH,2021,601,Tay ga,100 - 175 cc,Thái Lan,12.049999999999997
15.3,12.59,14.78,Honda,Air Blade,2010,36000,Tay ga,100 - 175 cc,Đang cập nhật,2.1899999999999995
24.0,21.1,24.77,Honda,Vision,2019,12000,Tay ga,100 - 175 cc,Việt Nam,3.669999999999998
12.6,8.99,10.56,Honda,Air Blade,2012,36000,Tay ga,100 - 175 cc,Đang cập nhật,1.5700000000000003
21.5,19.98,23.46,Honda,Air Blade,2016,857000,Tay ga,100 - 175 cc,Việt Nam,3.4800000000000004
8.0,36.71,43.1,Honda,Air Blade,2023,4,Tay ga,100 - 175 cc,Đang cập nhật,6.390000000000001
8.9,15.04,17.66,Piaggio,GTS,2007,36668,Tay ga,100 - 175 cc,Nước khác,2.620000000000001
31.5,28.0,32.86,Honda,Vision,2023,15000,Tay ga,100 - 175 cc,Việt Nam,4.859999999999999
9.9,6.1,7.16,Honda,Lead,2009,30000,Tay ga,100 - 175 cc,Đang cập nhật,1.0600000000000005
12.0,14.53,17.05,Suzuki,Dòng khác,1999,30000,Tay côn/Moto,100 - 175 cc,Nhật Bản,2.5200000000000014
14.0,41.9,49.18,Yamaha,Exciter,2010,10000,Tay côn/Moto,100 - 175 cc,Đang cập nhật,7.280000000000001
120.0,74.57,87.54,Honda,SH,2022,11000,Tay ga,Trên 175 cc,Thái Lan,12.970000000000013
87.0,74.57,87.54,Honda,SH,2022,700,Tay ga,100 - 175 cc,Thái Lan,12.970000000000013
8.3,8.99,10.56,Honda,Air Blade,2012,19000,Tay ga,100 - 175 cc,Nhật Bản,1.5700000000000003
3.8,55.2,64.8,Hãng khác,Dòng khác,2009,123,Xe số,50 - 100 cc,Nhật Bản,9.599999999999994
27.5,8.6,10.1,Honda,Air Blade,2009,32000,Tay ga,100 - 175 cc,Việt Nam,1.5
11.2,10.17,11.94,Yamaha,Sirius,2021,24700,Xe số,100 - 175 cc,Đang cập nhật,1.7699999999999996
13.0,12.56,14.75,Hãng khác,Dòng khác,2024,1200,Tay ga,Dưới 50 cc,Việt Nam,2.1899999999999995
22.0,19.01,22.32,Piaggio,Vespa,2014,30000,Tay ga,100 - 175 cc,Đang cập nhật,3.3099999999999987
9.5,23.03,27.04,Honda,Scoopy,2019,12000,Tay ga,50 - 100 cc,Việt Nam,4.009999999999998
50.5,13.94,16.37,Honda,Future,2001,16000,Xe số,100 - 175 cc,Đang cập nhật,2.4300000000000015
